id,cidade,lat,lon
3500105,Adamantina,-21.576304270889878,-51.05616219188306
3500204,Adolfo,-21.288078046562557,-49.65281480574286
3500303,Aguaí,-22.049604954753647,-47.039711091497935
3500402,Águas da Prata,-21.91375720082714,-46.691309551184716
3500501,Águas de Lindóia,-22.47405169387128,-46.60304930368094
3500550,Águas de Santa Bárbara,-22.85850793848385,-49.26039315603515
3500600,Águas de São Pedro,-22.599020058258866,-47.87598238958155
3500709,Agudos,-22.571081513916116,-49.10790475015966
3500758,Alambari,-23.54861169263054,-47.86833591006229
3500808,Alfredo Marcondes,-21.934925923514967,-51.39558658380303
3500907,Altair,-20.532974220890562,-49.093705342599016
3501004,Altinópolis,-21.017674541184302,-47.38596859443083
3501103,Alto Alegre,-21.612192045208776,-50.19156354534441
3501152,Alumínio,-23.532520562957462,-47.280995340869026
3501202,Álvares Florence,-20.289139334148434,-49.919608005205475
3501301,Álvares Machado,-22.131588783623133,-51.514720503213084
3501400,Álvaro de Carvalho,-22.086285781755237,-49.73331290824608
3501509,Alvinlândia,-22.45178475231312,-49.75808171685381
3501608,Americana,-22.722978074397503,-47.28842718534319
3501707,Américo Brasiliense,-21.721610788600405,-48.03126406387443
3501806,Américo de Campos,-20.289067474072002,-49.76715105027969
3501905,Amparo,-22.698587894846337,-46.798268782116196
3502002,Analândia,-22.12082095705227,-47.67759665305609
3502101,Andradina,-20.83504379755099,-51.32926650431459
3502200,Angatuba,-23.436396301212397,-48.45885894653582
3502309,Anhembi,-22.79946129269498,-48.17424920961811
3502408,Anhumas,-22.361276754232986,-51.427245951465686
3502507,Aparecida,-22.91337329287519,-45.23690896515879
3502606,Aparecida d'Oeste,-20.47827903327649,-50.92118174245604
3502705,Apiaí,-24.42103593185552,-48.816518292645384
3502754,Araçariguama,-23.434722176269904,-47.072049487291146
3502804,Araçatuba,-21.113618648728096,-50.57372563496318
3502903,Araçoiaba da Serra,-23.543418555317466,-47.65087106453213
3503000,Aramina,-20.14447422239814,-47.820153946346714
3503109,Arandu,-23.177251407688036,-49.063251370030315
3503158,Arapeí,-22.672326820601366,-44.43810240574389
3503208,Araraquara,-21.790919851102615,-48.18083900039281
3503307,Araras,-22.34575672626694,-47.32316593640958
3503356,Arco-Íris,-21.766067001150866,-50.43020053581338
3503406,Arealva,-22.07565873982861,-48.98160256379728
3503505,Areias,-22.672623156243425,-44.711928193484006
3503604,Areiópolis,-22.63208515950288,-48.6523476006866
3503703,Ariranha,-21.18529876053976,-48.77845893546778
3503802,Artur Nogueira,-22.560617341700812,-47.13158833470406
3503901,Arujá,-23.38558182831526,-46.31902811600192
3503950,Aspásia,-20.18304310349649,-50.72773754144037
3504008,Assis,-22.601032894453663,-50.420285620105226
3504107,Atibaia,-23.12292125704764,-46.58647937945913
3504206,Auriflama,-20.64373487703826,-50.57943236816102
3504305,Avaí,-22.18670137200398,-49.31565295701696
3504404,Avanhandava,-21.460030538881504,-49.94674452134696
3504503,Avaré,-23.074563061385327,-48.893586804531495
3504602,Bady Bassitt,-20.931609234415422,-49.436921843911485
3504701,Balbinos,-21.891783190257335,-49.3328794854284
3504800,Bálsamo,-20.70916596875961,-49.55142650024146
3504909,Bananal,-22.73314612141782,-44.33413100000263
3505005,Barão de Antonina,-23.58225452826084,-49.571553877416505
3505104,Barbosa,-21.290267773154508,-49.92146077883915
3505203,Bariri,-22.06634115690587,-48.7182420832628
3505302,Barra Bonita,-22.478934300974345,-48.54084929389768
3505351,Barra do Chapéu,-24.443327681684003,-49.08466216869003
3505401,Barra do Turvo,-24.88773357015003,-48.42642849581536
3505500,Barretos,-20.513771553735566,-48.65160691844094
3505609,Barrinha,-21.23195818439896,-48.09491474490476
3505708,Barueri,-23.50506553185676,-46.87635199536418
3505807,Bastos,-21.95020224354118,-50.74348062192561
3505906,Batatais,-20.867169302904696,-47.5744179886481
3506003,Bauru,-22.25360883464175,-49.125787107965344
3506102,Bebedouro,-20.93994207111614,-48.51021360780188
3506201,Bento de Abreu,-21.331386781077786,-50.86145534535705
3506300,Bernardino de Campos,-23.030246127546672,-49.491289155901306
3506359,Bertioga,-23.75919370815766,-46.02936658234352
3506409,Bilac,-21.427428927189933,-50.479072898375755
3506508,Birigui,-21.261342912724448,-50.35052430714395
3506607,Biritiba-Mirim,-23.62413499485219,-46.021061113379595
3506706,Boa Esperança do Sul,-21.93450220007191,-48.463258926399824
3506805,Bocaina,-22.10512309661342,-48.5284711451594
3506904,Bofete,-23.12855157698104,-48.28527357935241
3507001,Boituva,-23.287282665964465,-47.674180065312086
3507100,Bom Jesus dos Perdões,-23.171865772428575,-46.47846764907436
3507159,Bom Sucesso de Itararé,-24.31537640139999,-49.163883310149934
3507209,Borá,-22.243754478743128,-50.50164883912045
3507308,Boracéia,-22.169563446029905,-48.787952857695316
3507407,Borborema,-21.61020633805493,-49.071650314791135
3507456,Borebi,-22.679757007595065,-48.99167094911852
3507506,Botucatu,-22.862905217474154,-48.467963917988946
3507605,Bragança Paulista,-22.938138197680768,-46.55542216194356
3507704,Braúna,-21.552909765527172,-50.33911458469563
