MUNICIPIO,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,ACIDENTES,LATITUDE,LONGITUDE,BOTROPICO,CROTALICO,ELAPIDICO,LAQUETICO,LOXOSCELICO,FONEUTRICO,ESCORPIONICO,LONOMICO,lat,lon
ITOBI,352380,GVE 26 SAO JOAO DA BOA VISTA,UNIDADE DE SAUDE DE ITOBI ALCIBIADES PIRES,"R. Inácio Rodrigues Dâmaso - Itobilândia, Itobi - SP, 13715-000",0,,0,(19) 3647-6010,,-2.173.395,-4.697.435,0,0,0,0,0,0,0,0,-21.73395,-46.97435
ITU,352390,GVE 31 SOROCABA,HOSPITAL SANTA CASA - ITU,"RUA JOAQUIM BERBARDES BORGES, 372",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(11) 4013-8000,JARARACA; CASCAVEL; ESCORPIÃO.,-2.327.051,-4.729.558,1,1,0,0,1,1,1,0,-23.27051,-47.29558
ITUPEVA,352400,GVE 17 CAMPINAS,HOSPITAL NOSSA SENHORA APARECIDA,"Praça São Venâncio, 2 - Da Lagoa, Itupeva - SP, 13295-000",0,,1,(11) 4591-1220,,-2.317.461,-4.705.248,0,0,0,0,0,0,0,0,-23.17461,-47.05248
ITUVERAVA,352410,GVE 18 FRANCA,SANTA CASA DE MISERICÓRDIA - ITUVERAVA,"R. CAP. ANTONIO JUSTINO FALEIRO, 729",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(16) 3839-1200,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.033.656,-4.778.802,1,1,0,0,1,1,1,0,-20.33656,-47.78802
JABORANDI,352420,GVE 14 BARRETOS,HOSPITAL MUNICIPAL DR AMADEU PAGLIUSO,"R. Dr. Amadeu Pagliuso, 480, Jaborandi - SP, 14775-000",0,,1,(17) 3347-1286,,-2.068.953,-4.841.642,0,0,0,0,0,0,0,0,-20.68953,-48.41642
JOABOTICABAL,352430,GVE 24 RIBEIRAO PRETO,HOSPITAL E MATERNIDADE SANTA ISABEL DE JABOTICABAL,"R. Floriano Peixoto, 1387 - Centro, Jaboticabal - SP, 14870-810",0,,1,(16) 3209-2333,,-2.125.576,-4.832.613,0,0,0,0,0,0,0,0,-21.25576,-48.32613
JACAREI,352440,GVE 27 SAO JOSE DOS CAMPOS,UPA III DR THELMO DE ALMEIDA CRUZ - JACAREÍ,"AV. ENGENHEIRO DAVID MONTEIRO LINO, 577 - CENTRO",1,"Botrópico, Crotálico, Elapídico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(12) 3959-2270,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.329.616,-4.596.372,1,1,1,0,1,1,1,0,-23.29616,-45.96372
JACI,352450,GVE 29 SAO JOSE DO RIO PRETO,HOSPITAL NOSSA SENHORA DA DIVINA PROVIDENCIA,"R. Maria Joana do Amaral Mendonça, 950, Jaci - SP, 15155-000",0,,1,(17) 3283-1222,,-2.088.294,-4.957.318,0,0,0,0,0,0,0,0,-20.88294,-49.57318
JACUPIRANGA,352460,GVE 23 REGISTRO,PRONTO ATENDIMENTO - JACUPIRANGA,"RUA EUNICE CARNEIRO DE PAULA, 101 - CENTRO",1,"Botrópico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(13) 3864-3440,JARARACA; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.469.675,-4.800.365,1,0,0,0,1,1,1,0,-24.69675,-48.00365
JAGUARIUNA,352470,GVE 17 CAMPINAS,HOSPITAL MUNICIPAL WALTER FERRARI,"R. Amazonas, s/n - Centro, Jaguariúna - SP, 13820-000",0,,1,(19) 3867-1122,ESCORPIÃO.,-2.270.266,-4.699.543,0,0,0,0,0,0,0,0,-22.70266,-46.99543
JALES,352480,GVE 30 JALES,UNIDADE DE PRONTO ATENDIMENTO (UPA) - JALES,RUA SEBASTIÃO MARTINS N 2373,1,"Botrópico, Crotálico, Elapídico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(17) 3632-8747,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.026.676,-5.054.324,1,1,1,0,1,1,1,0,-20.26676,-50.54324
JAMBEIRO,352490,GVE 27 SAO JOSE DOS CAMPOS,UBS DE JAMBEIRO JOCELINA MEIRELES,"R. Antonio de Castro-Leite, 38 - Centro, Jambeiro - SP, 12270-000",0,,1,(12) 3978-1651,,-2.325.596,-4.569.182,0,0,0,0,0,0,0,0,-23.25596,-45.69182
JANDIRA,352500,GVE 10 OSASCO,PRONTO ATENDIMENTO MUNICIPAL DE JANDIRA PAM JANDIRA,"Av. Alberto Ruffolo, 312 - Vila Anita Costa, Jandira - SP, 06600-170",0,,1,(11) 4707-1954,,-2.353.646,-4.690.122,0,0,0,0,0,0,0,0,-23.53646,-46.90122
JARDINOPOLIS,352510,GVE 24 RIBEIRAO PRETO,HOSPITAL SANTA CASA DE JARDINOPOLIS,"R. Antônio Elias Said, 100 - Vila das Mangueiras, Jardinópolis - SP, 14680-000",0,,1,-,,-2.102.962,-4.777.844,0,0,0,0,0,0,0,0,-21.02962,-47.77844
JARINU,352520,GVE 17 CAMPINAS,HOSPITAL ISRAELITA ST JAMES DE JARINU,"Av. José Manara, 450 - Centro, Jarinu - SP, 13240-000",0,,1,(11) 3336-6600,,-2.311.058,-4.672.943,0,0,0,0,0,0,0,0,-23.11058,-46.72943
JAU,352530,GVE 15 BAURU,SANTA CASA DE MISERICÓRDIA - JAU,"RUA RIACHUELO, Nº 1073",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(14) 3622-4040,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.229.157,-4.856.208,1,1,0,0,1,1,1,0,-22.29157,-48.56208
JERIQUARA,352540,GVE 18 FRANCA,CS III JERIQUARA,"Prc São Sebastião, 100, Jeriquara - SP, 14450-000",0,,0,(16) 3134-1334,,-2.031.138,-4.758.909,0,0,0,0,0,0,0,0,-20.31138,-47.58909
JOANOPOLIS,352550,GVE 17 CAMPINAS,SANTA CASA DE MISERICORDIA DE JOANOPOLIS,"Rua Francisco Wohlers, 57, Joanópolis - SP, 12980-000",0,,1,(11) 4539-9333,,-2.293.037,-4.627.286,0,0,0,0,0,0,0,0,-22.93037,-46.27286
JOAO RAMALHO,352560,GVE 21 PRESIDENTE PRUDENTE,UBS I - JOAO RAMALHO,"R. Paulo Azevedo, 80 - Centro, João Ramalho - SP, 19680-000",0,,0,(18) 3998-1106,,-2.224.956,-5.076.722,0,0,0,0,0,0,0,0,-22.24956,-50.76722
JOSE BONIFACIO,352570,GVE 29 SAO JOSE DO RIO PRETO,SANTA CASA DE MISERICÓRDIA - JOSE BONIFACIO,"RUA XV DE NOVEMBRO S/N, BELA VISTA",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico",1,(17) 3265-9022,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.105.551,-4.969.366,1,1,0,0,1,1,1,0,-21.05551,-49.69366
JULIO MESQUITA,352580,GVE 19 MARILIA,USF ANTONIO SOARES,"R. Jorge Moraes Barros, 459, Júlio Mesquita - SP, 17550-000",0,,0,(14) 3487-9099,,-2.201.150,-4.978.972,0,0,0,0,0,0,0,0,-22.0115,-49.78972
JUMIRIM,352585,GVE 31 SOROCABA,CS BRAZILIANO POGGI JUMIRIM,"R. Bazzo, 176, Jumirim - SP, 18535-000",0,,0,(15) 3199-9816,,-2.308.362,-4.779.337,0,0,0,0,0,0,0,0,-23.08362,-47.79337
JUNDIAI,352590,GVE 17 CAMPINAS,HOSPITAL UNIVERSITÁRIO (0 A 18 ANOS),"PRAÇA ROTATÓRIA, S/N",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(11) 4527-5700,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.320.499,-4.689.211,1,1,0,0,1,1,1,0,-23.20499,-46.89211
JUNDIAI,352590,GVE 17 CAMPINAS,HOSPITAL SÃO VICENTE DE PAULA (ADULTOS),"RUA SÃO VICENTE DE PAULA, 223",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(11) 4583-8155,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.318.400,-4.689.005,1,1,0,0,1,1,1,0,-23.184,-46.89005
JUNQUEIROPOLIS,352600,GVE 22 PRESIDENTE VENCESLAU,SANTA CASA DE MISERICÓRDIA - JUNQUEIROPOLIS,"RUA PORTO ALEGRE, 1221",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(18) 3841-9420,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.151.506,-5.143.895,1,1,0,0,1,1,1,0,-21.51506,-51.43895
JUQUIA,352610,GVE 23 REGISTRO,PRONTO SOCORRO DRº MANOEL PEREZ BAZAN,"AV. EXPEDICIONÁRIO APARÍCIO, S/Nº - ESTAÇÃO",1,"Botrópico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(13) 3844-3450,JARARACA; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.432.382,-4.762.910,1,0,0,0,1,1,1,0,-24.32382,-47.6291
JUQUITIBA,352620,GVE 10 OSASCO,UNIDADE MISTA DE SAÚDE - JUQUITIBA,"RUA JOSÉ ANTONIO NUNES, Nº 90",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico, Escorpiônico e Lonômico.",1,(11) 4681-4226,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.393.317,-4.706.984,1,1,0,0,1,1,1,1,-23.93317,-47.06984
LAGOINHA,352630,GVE 33 TAUBATE,CENTRO DE SAÚDE III - LAGOINHA,"R: ANTONIO DA CUNHA BUENO, 25, CEP:12130-000",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(12) 3647-1238 R 29,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.308.965,-4.519.206,1,1,0,0,1,1,1,0,-23.08965,-45.19206
LARANJAL PAULISTA,352640,GVE 16 BOTUCATU,SANTA CASA DE LARANJAL PAULISTA,"RUA GOVERNADOR PEDRO DE TOLEDO, 633, CENTRO",1,Escorpiônico,1,(15) 3383-9191,ESCORPIÃO.,-2.305.557,-4.783.278,0,0,0,0,0,0,1,0,-23.05557,-47.83278
LAVINIA,352650,GVE 11 ARACATUBA,UBSF ARLINDO VIDAL LEME LAVINIA,"RUA HINTZ BRANDAO, 82",0,,0,(18) 3698-1284,,-2.116.525,-5.104.154,0,0,0,0,0,0,0,0,-21.16525,-51.04154
LAVRINHAS,352660,GVE 33 TAUBATE,USF LAVRINHAS,"R. Manoel Machado, 303 - Lavrinhas, SP, 12760-000",0,,0,(12) 3146-1144,,-2.256.866,-4.490.545,0,0,0,0,0,0,0,0,-22.56866,-44.90545
LEME,352670,GVE 20 PIRACICABA,SANTA CASA DE MISERICÓRDIA - LEME,"RUA: PE. JULIÃO, 1213",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(19) 3573-6500,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.218.977,-4.739.227,1,1,0,0,1,1,1,0,-22.18977,-47.39227
LENCOIS PAULISTA,352680,GVE 15 BAURU,UPA DE LENÇÓIS PAULISTA,"RUA SETE DE SETEMBRO, Nº 600",1,Escorpiônico,1,(14) 3269-1300,ESCORPIÃO.,-2.260.005,-4.879.594,0,0,0,0,0,0,1,0,-22.60005,-48.79594
LIMEIRA,352690,GVE 20 PIRACICABA,SANTA CASA DE MISERICÓRDIA - LIMEIRA,"AV. ANTONIO OMETTO, 675, VILA CLAUDIA",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(19) 3446-6100,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.257.933,-4.740.029,1,1,0,0,1,1,1,0,-22.57933,-47.40029
LINDOIA,352700,GVE 17 CAMPINAS,CENTRO DE SAUDE III DE LINDOIA,"RUA APARECIDO ZAMBOIM,20",0,,0,(19) 3898-3553,,-2.252.053,-4.664.702,0,0,0,0,0,0,0,0,-22.52053,-46.64702
LINS,352710,GVE 15 BAURU,IRM. STA CASA DE MIS. DE LINS,"RUA PEDRO DE TOLEDO, 486",1,"Botrópico, Crotálico, Escorpiônico, Laquético e Loxoscélico, Fonêutrico",1,(14) 3533-2500,JARARACA; CASCAVEL; LAQUÉTICO; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.167.230,-4.975.548,1,1,0,1,1,1,1,0,-21.6723,-49.75548
LORENA,352720,GVE 33 TAUBATE,PRONTO SOCORRO MUNICIPAL - LORENA,R. DOM BOSCO 562 CENTRO - CEP 12.600-100,1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(12) 3159-3344,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.273.401,-4.511.996,1,1,0,0,1,1,1,0,-22.73401,-45.11996
LOURDES,352725,GVE 11 ARACATUBA,UNIDADE BASICA DE SAUDE LAZARO QUIRINO DA SILVA,"R. Francisco da Silva, 190, Lourdes - SP, 15285-000",0,,0,-,,-2.096.388,-5.022.597,0,0,0,0,0,0,0,0,-20.96388,-50.22597
LOUVEIRA,352730,GVE 17 CAMPINAS,HOSPITAL SANTO ANTONIO DE LOUVEIRA,"R. Luís M Cruz, 63 - Santo Antônio, Louveira - SP, 13294-334",0,,1,(19) 3948-5300,,-2.308.901,-4.697.797,0,0,0,0,0,0,0,0,-23.08901,-46.97797
LUCELIA,352740,GVE 19 MARILIA,SANTA CASA DE LUCELIA,"R. Manoel Lopes, 410 - Centro, Lucélia - SP, 17780-000",0,,1,(18) 3551-9050,,-2.172.808,-5.101.039,0,0,0,0,0,0,0,0,-21.72808,-51.01039
LUCIANOPOLIS,352750,GVE 15 BAURU,UBS LAURO BORGES,"Rua Irenio Zaninoto - Nucleo Belmiro Jorge, Lucianópolis - SP, 17475-262",0,,0,(14) 3286-1190,,-2.243.243,-4.952.024,0,0,0,0,0,0,0,0,-22.43243,-49.52024
LUIS ANTONIO,352760,GVE 24 RIBEIRAO PRETO,UNIDADE MISTA DE LUIZ ANTONIO,"R. Guilherme Brian, 1060, Luís Antônio - SP, 14210-000",0,,1,-,,-2.155.377,-4.770.194,0,0,0,0,0,0,0,0,-21.55377,-47.70194
LUIZIANIA,352770,GVE 11 ARACATUBA,COMPLEXO MUNICIPAL DE SAUDE DE LUIZIANIA,"R. Padre João Braem, 365, Luiziânia - SP, 16340-000",0,,1,(18) 3603-1160,,-2.167.593,-5.032.737,0,0,0,0,0,0,0,0,-21.67593,-50.32737
LUPERCIO,352780,GVE 19 MARILIA,CENTRO DE SAUDE DE LUPERCIO,"Praça Antônio Daun, 67 - Centro, Lupércio - SP, 17420-000",0,,0,(14) 3474-1135,,-2.241.559,-4.981.684,0,0,0,0,0,0,0,0,-22.41559,-49.81684
LUTECIA,352790,GVE 13 ASSIS,CENTRO DE SAUDE DE LUTECIA,"R. Manoel Lourenço, 353, Lutécia - SP, 19750-000",0,,0,(18) 3368-1129,,-2.234.000,-5.039.192,0,0,0,0,0,0,0,0,-22.34,-50.39192
MACATUBA,352800,GVE 15 BAURU,SANTA CASA DE MACATUBA,"R. Carlos Gomes, 654 - CENTRO, Macatuba - SP, 17290-000",0,,1,(14) 3298-9200,,-2.250.419,-4.871.357,0,0,0,0,0,0,0,0,-22.50419,-48.71357
MACAUBAL,352810,GVE 29 SAO JOSE DO RIO PRETO,SANTA CASA DE MACAUBAL,"RUA SETE DE SETEMBRO, Nº 1203 - CENTRO, 15270-000",1,Escorpiônico,1,(17) 3874-1408,ESCORPIÃO.,-2.080.785,-4.996.336,0,0,0,0,0,0,1,0,-20.80785,-49.96336
MACEDONIA,352820,GVE 30 JALES,UBS DE MACEDONIA,"Rua Dep Anisio Moreira, 439, Macedônia - SP, 15620-000",0,,1,(17) 3849-1162,,-2.014.542,-5.019.289,0,0,0,0,0,0,0,0,-20.14542,-50.19289
MAGDA,352830,GVE 29 SAO JOSE DO RIO PRETO,CENTRO DE SAUDE III DE MAGDA,"Rua Manoel Franco Junior, 522 - Centro, Magda - SP, 15310-000",0,,0,(17) 3487-1149,,-2.064.580,-5.022.474,0,0,0,0,0,0,0,0,-20.6458,-50.22474
MAIRINQUE,352840,GVE 31 SOROCABA,PRONTO ATENDIMENTO MUNICIPAL DE MAIRINQUE,"AVN MILTON CARDOSO LEITE, 151 - CANGUERINHA, Mairinque - SP, 18120-000",0,,1,(11) 4718-1500,,-2.354.655,-4.719.078,0,0,0,0,0,0,0,0,-23.54655,-47.19078
MAIRIPORA,352850,GVE 9 FRANCO DA ROCHA,HOSPITAL E MATERNIDADE DE MAIRIPORÃ,"RUA IPIRANGA Nº 280, CENTRO",1,Escorpiônico,1,(11) 4419-4422,ESCORPIÃO.,-2.332.093,-4.659.011,0,0,0,0,0,0,1,0,-23.32093,-46.59011
MANDURI,352860,GVE 16 BOTUCATU,UBS DR ALDEMAR HOLTZ DE ALMEIDA,"RUA RIO GRANDE DO SUL, 809",0,,0,(14) 3356-9202,,-2.300.673,-4.932.444,0,0,0,0,0,0,0,0,-23.00673,-49.32444
MARABA PAULISTA,352870,GVE 22 PRESIDENTE VENCESLAU,CENTRO DE SAUDE MARABA PAULISTA UNIDADE SAUDE DA FAMILIA,"R. José Teodoro, Marabá Paulista - SP, 19430-000",0,,0,(18) 3996-1125,,-2.210.805,-5.196.656,0,0,0,0,0,0,0,0,-22.10805,-51.96656
MARACAI,352880,GVE 13 ASSIS,HOSPITAL BENEFICENTE DE MARACAI,"Av. José Bonifácio, 382 - Centro, Maracaí - SP, 19840-000",0,,1,(18) 3371-2797,,-2.261.256,-5.066.648,0,0,0,0,0,0,0,0,-22.61256,-50.66648
MARAPOAMA,352885,GVE 29 SAO JOSE DO RIO PRETO,UBS DE MARAPOAMA,"Praça da Independencia, 160, Marapoama - SP, 15845-000",0,,1,(17) 3548-9000,,-2.125.795,-4.913.294,0,0,0,0,0,0,0,0,-21.25795,-49.13294
MARIAPOLIS,352890,GVE 19 MARILIA,CENTRO DE SAUDE DE MARIAPOLIS,"Praça Frei Dionisio Antonio Marinelli, 85 - Centro, Mariápolis - SP, 17810-000",0,,0,(18)3586-1234,,-2.179.874,-5.118.222,0,0,0,0,0,0,0,0,-21.79874,-51.18222
MARILIA,352900,GVE 19 MARILIA,HOSPITAL DE CLÍNICAS I (ADULTOS),"R. AZIZ ATALLAH, S/Nº",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(14) 3434-2525,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.222.649,-4.993.550,1,1,1,0,1,1,1,1,-22.22649,-49.9355
MARILIA,352900,GVE 19 MARILIA,HOSPITAL DE CLÍNICAS II (CRIANÇAS),"AV. SAMPAIO VIDAL, 42",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(14) 3434-2526,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.222.246,-4.994.735,1,1,1,0,1,1,1,1,-22.22246,-49.94735
MARINOPOLIS,352910,GVE 30 JALES,CS DE MARINOPOLIS,"RUA ESPIRITO SANTO, 130",0,,0,(17) 3695-1143,,-2.044.032,-5.082.422,0,0,0,0,0,0,0,0,-20.44032,-50.82422
MARTINOPOLIS,352920,GVE 21 PRESIDENTE PRUDENTE,SANTA CASA DE MISERICÓRDIA - MARTINOPOLIS,"RUA JOSÉ HENRIQUE DE MELLO, 236",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(18) 3275-1000,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.214.608,-5.117.009,1,1,0,0,1,1,1,0,-22.14608,-51.17009
MATAO,352930,GVE 12 ARARAQUARA,HOSPITAL CARLOS FERNANDO MALZONI,"R. SINHARINHA FROTA, 556",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(16) 3383-2500,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.160.581,-4.836.796,1,1,0,0,1,1,1,0,-21.60581,-48.36796
MAUA,352940,GVE 7 SANTO ANDRE,HOSPITAL DE CLINICAS DR RADAMES NARDINI,"R. Reg. Feijó, 166 - Vila Bocaina, Mauá - SP, 09310-640",0,,1,(11) 2666-5400,,-2.367.253,-4.645.047,0,0,0,0,0,0,0,0,-23.67253,-46.45047
MENDONCA,352950,GVE 29 SAO JOSE DO RIO PRETO,UBS BENEDICTA DO CARMO OLIVEIRA DONA DITA,"R. Angelo Petrolini, 350, Mendonça - SP, 15220-000",0,,0,(17) 3248-9550,,-2.118.705,-4.958.037,0,0,0,0,0,0,0,0,-21.18705,-49.58037
MERIDIANO,352960,GVE 30 JALES,UBS DE MERIDIANO,"R. João de Setembro, Meridiano - SP, 15625-000",0,,0,(17) 3475-1144,,-2.035.674,-5.017.619,0,0,0,0,0,0,0,0,-20.35674,-50.17619
MESOPOLIS,352965,GVE 30 JALES,UBS DE MESOPOLIS,"R. Direitos Humanos, 2164 - Centro, Mesópolis - SP, 15748-000",0,,0,-,,-1.996.784,-5.062.332,0,0,0,0,0,0,0,0,-19.96784,-50.62332
MIGUELOPOLIS,352970,GVE 18 FRANCA,SANTA CASA DE MIGUELOPOLIS,"R. José Jacobe Daur, s/n - Centro, Miguelópolis - SP, 14530-000",0,,1,(16) 3835-6700,,-2.018.318,-4.802.856,0,0,0,0,0,0,0,0,-20.18318,-48.02856
MINEIROS DO TIETE,352980,GVE 15 BAURU,PRONTO ATENDIMENTO MUNICIPAL DE MINEIROS DO TIETE,"R. Sub Delegado Ferrinho, 535 - Centro, Mineiros do Tietê - SP, 17320-037",1,Escorpiônico,1,(14)3646-1217,ESCORPIÃO,-2.241.203,-4.844.823,0,0,0,0,0,0,1,0,-22.41203,-48.44823
MIRA ESTRELA,353000,GVE 30 JALES,UBS DE MIRA ESTRELA,"Praça Benedito Castrequini, 472 - Centro, Mira Estrela - SP, 15580-000",0,,0,(17) 3846-1219,,-1.997.937,-5.013.824,0,0,0,0,0,0,0,0,-19.97937,-50.13824
MIRACATU,352990,GVE 23 REGISTRO,PRONTO ATENDIMENTO MIYOJI KAYO,"AV. DONA EVARISTA DE CASTRO FERREIRA, 77 - CENTRO",1,"Botrópico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(13) 3847-7010,JARARACA; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.428.600,-4.745.852,1,0,0,0,1,1,1,0,-24.286,-47.45852
MIRANDOPOLIS,353010,GVE 11 ARACATUBA,HOSP. EST. DR. OSWALDO BRANADI FARIA - MIRANDÓPOLIS,"AV. DR. RAUL DA CUNHA BUENO, 585",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(18) 3701-1611,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.112.488,-5.110.375,1,1,0,0,1,1,1,0,-21.12488,-51.10375
MIRANTE DO PARANAPANEMA,353020,GVE 22 PRESIDENTE VENCESLAU,PRONTO ATENDIMENTO MUNICIPAL - MIRANTE DO PARANAPANEMA,"AV. ZIL BRASIL, 320",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(18) 3991-1292,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.228.523,-5.190.681,1,1,0,0,1,1,1,0,-22.28523,-51.90681
MIRASSOL,353030,GVE 29 SAO JOSE DO RIO PRETO,HOSPITAL E MATERNIDADE MAE DO DIVINO AMOR,"R. Rui Barbosa, 2019 - Centro, Mirassol - SP, 15130-000",0,,1,(17) 3253-9830,,-2.081.539,-4.951.247,0,0,0,0,0,0,0,0,-20.81539,-49.51247
MIRASSOLANDIA,353040,GVE 29 SAO JOSE DO RIO PRETO,CSIII DE MIRASSOLANDIA,"R. Eugênio Ponchio, 477, Mirassolândia - SP, 15145-000",0,,1,(17) 3263-2318,,-2.061.534,-4.946.621,0,0,0,0,0,0,0,0,-20.61534,-49.46621
MOCOCA,353050,GVE 26 SAO JOAO DA BOA VISTA,UNIDADE DE PRONTO ATENDIMENTO - MOCOCA,"AV. SAUDADE, 1445 - CENTRO",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(19) 3656-9200,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.146.359,-4.700.665,1,1,1,0,1,1,1,1,-21.46359,-47.00665
MOGI DAS CRUZES,353060,GVE 8 MOGI DAS CRUZES,HOSPITAL LUZIA PINHO DE MELO,RUA MANOEL DE OLIVEIRA S/N,1,"Botrópico, Crotálico, Elapídico, Loxoscélico, Fonêutrico, Escorpiônico e Lonômico.",1,(11) 3583-2800,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.351.011,-4.619.494,1,1,1,0,1,1,1,1,-23.51011,-46.19494
MOGI GUACU,353070,GVE 26 SAO JOAO DA BOA VISTA,SANTA CASA DE MISERICÓRDIA - MOGI GUACU,"R. CHICO DE PAULA, 608",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(19) 3818-5943,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.236.446,-4.694.351,1,1,1,0,1,1,1,1,-22.36446,-46.94351
MOGI MIRIM,353080,GVE 26 SAO JOAO DA BOA VISTA,PRONTO SOCORRO DA SANTA CASA DE MOGI MIRIM,"RUA MAESTRO AZEVEDO, 124. CENTRO. MOGI MIRIM",1,Escorpiônico,1,(19) 3814-3000,ESCORPIÃO.,-2.243.782,-4.695.940,0,0,0,0,0,0,1,0,-22.43782,-46.9594
MOMBUCA,353090,GVE 20 PIRACICABA,UNIDADE MISTA DE SAUDE DE MOMBUCA,"R. Gerson Maschio, 60 - Jardim das Oliveiras, Mombuca - SP, 13375-000",0,,1,-,,-2.293.332,-4.756.508,0,0,0,0,0,0,0,0,-22.93332,-47.56508
MONCOES,353100,GVE 29 SAO JOSE DO RIO PRETO,ESTRATEGIA SAUDE DA FAMILIA DE MONCOES,"R. Rio Branco, Monções - SP, 15275-000",0,,0,(17) 3484-1231,,-2.085.130,-5.009.746,0,0,0,0,0,0,0,0,-20.8513,-50.09746
