MUNICIPIO,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,ACIDENTES,LATITUDE,LONGITUDE,BOTROPICO,CROTALICO,ELAPIDICO,LAQUETICO,LOXOSCELICO,FONEUTRICO,ESCORPIONICO,LONOMICO,lat,lon
HORTOLANDIA,351907,GVE 17 CAMPINAS,HOSPITAL E MATERNIDADE MUNICIPAL GOVERNADOR MARIO COVAS,"R. Osvaldo Ribeiro Carrilho, 10 - Jardim Mirante de Sumare, Hortolândia - SP, 13186-214",0,,1,(19) 3809-5100,,-2.288.513,-4.719.552,0,0,0,0,0,0,0,0,-22.88513,-47.19552
IACANGA,351910,GVE 15 BAURU,IRMANDADE DA SANTA CASA DE MISERICORDIA DE IACANGA,"Praça Antonio Garcia, 68 - Centro, Iacanga - SP, 17180-000",0,,1,(14) 3294-1110,,-2.189.259,-4.902.333,0,0,0,0,0,0,0,0,-21.89259,-49.02333
IACRI,351920,GVE 19 MARILIA,PRONTO ATENDIMENTO DE IACRI,"RUA BANDEIRANTES 1.341, CENTRO",1,Escorpiônico,1,(14) 3489-1294,ESCORPIÃO.,-2.185.852,-5.068.819,0,0,0,0,0,0,1,0,-21.85852,-50.68819
IARAS,351925,GVE 16 BOTUCATU,UNIDADE BASICA DE SAUDE DE IARAS,"R. Barão do Rio Branco, Iaras - SP, 18775-000",0,,0,(14) 3764-1250,,-2.287.658,-4.916.147,0,0,0,0,0,0,0,0,-22.87658,-49.16147
IBATE,351930,GVE 12 ARARAQUARA,HOSPITAL MUNICIPAL IBATE,"R. Floriano Peixoto, 403 - Bairro São Benedito, Ibaté - SP, 14815-000",0,,1,(16) 3343-1191,,-2.195.664,-4.799.550,0,0,0,0,0,0,0,0,-21.95664,-47.9955
IBIRA,351940,GVE 29 SAO JOSE DO RIO PRETO,SANTA CASA DE MISERICORDIA DE IBIRA,"Av. José Bueno Cavalheiro, 600 - Centro, Ibirá - SP, 15860-000",0,,1,(17) 3551-1311,,-2.108.207,-4.923.807,0,0,0,0,0,0,0,0,-21.08207,-49.23807
IBIRAREMA,351950,GVE 13 ASSIS,UBS - DR. MARCOS VINICIUS DO NASCIMENTO,"R. José Pereira, 200 - Centro, Ibirarema - SP, 19940-000",0,,1,(14) 3307-1472,,-2.281.633,-5.006.968,0,0,0,0,0,0,0,0,-22.81633,-50.06968
IBITINGA,351960,GVE 12 ARARAQUARA,SANTA CASA DE CARIDADE E MATERNIDADE - IBITINGA,"R. DOMINGOS ROBERT, 1090",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(16) 3352-7711,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.175.257,-4.882.776,1,1,0,0,1,1,1,0,-21.75257,-48.82776
IBIUNA,351970,GVE 31 SOROCABA,HOSPITAL MUNICIPAL DE IBIUNA,"Av. Gabriel Monteiro da Silva, 888 - Jardim Áurea, Ibiúna - SP, 18150-000",0,,1,(15) 3248-9520,,-2.364.957,-4.721.764,0,0,0,0,0,0,0,0,-23.64957,-47.21764
ICEM,351980,GVE 29 SAO JOSE DO RIO PRETO,CS DE ICEM,"Av. Horácio Borges da Silveira, 475, Icém - SP, 15460-000",0,,1,(17) 3282-9020,,-2.034.335,-4.919.920,0,0,0,0,0,0,0,0,-20.34335,-49.1992
IEPE,351990,GVE 21 PRESIDENTE PRUDENTE,HOSPITAL MUNICIPAL - IEPE,"RUA JOSÉ SIMÕES FILHO, 81",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(18) 3264-1441,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.265.989,-5.107.914,1,1,0,0,1,1,1,0,-22.65989,-51.07914
