ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
353400,Onda Verde,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.6042,-49.2929,355540.0,Ubatuba,3526,RRAS17,35173,LITORAL NORTE,-23.4332,-45.0834,535.6863500998751,1
353440,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,351300.0,Cotia,3523,RRAS4,35013,MANANCIAIS,-23.6022,-46.919,15.130115198397188,1
353440,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,351500.0,Embu das Artes,3523,RRAS4,35013,MANANCIAIS,-23.6437,-46.8579,14.062239683413663,1
353440,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,351640.0,Franco da Rocha,3524,RRAS3,35012,FRANCO DA ROCHA,-23.3229,-46.729,24.067966586225666,1
353440,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,351970.0,Ibiúna,3519,RRAS8,35163,SOROCABA,-23.6596,-47.223,46.23037823956887,1
353440,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,353160.0,Monte Castelo,3532,RRAS11,35111,ALTA PAULISTA,-21.2981,-51.5679,550.4351941623597,1
353440,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,353750.0,Pereiras,3518,RRAS9,35063,POLO CUESTA,-23.0804,-47.972,130.70744548467502,1
353440,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,353780.0,Piedade,3519,RRAS8,35163,SOROCABA,-23.7139,-47.4256,67.74788933380992,1
353440,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,354390.0,Rio Claro,3529,RRAS14,35104,RIO CLARO,-22.3984,-47.5546,147.9629562150814,1
353440,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,354850.0,Santos,3520,RRAS7,35041,BAIXADA SANTISTA,-23.9535,-46.335,65.89546657339493,1
353440,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,355030.0,São Paulo,3521,RRAS6,35016,SAO PAULO,-23.5329,-46.6395,15.531919208126146,29
353440,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,355400.0,Tatuí,3519,RRAS8,35161,ITAPETININGA,-23.3487,-47.8461,109.65945458333094,1
353460,Osvaldo Cruz,3533,RRAS10,35091,ADAMANTINA,-21.7968,-50.8793,351820.0,Guararapes,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2544,-50.6453,64.76506351957462,1
353470,Ourinhos,3533,RRAS10,35094,OURINHOS,-22.9797,-49.8697,350600.0,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,108.3189844062066,1
353470,Ourinhos,3533,RRAS10,35094,OURINHOS,-22.9797,-49.8697,353440.0,Osasco,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5324,-46.7916,320.86104753716927,1
353490,Pacaembu,3533,RRAS10,35091,ADAMANTINA,-21.5627,-51.2654,351580.0,Flora Rica,3532,RRAS11,35111,ALTA PAULISTA,-21.6727,-51.3821,17.15630710111476,1
353490,Pacaembu,3533,RRAS10,35091,ADAMANTINA,-21.5627,-51.2654,352160.0,Irapuru,3532,RRAS11,35111,ALTA PAULISTA,-21.5684,-51.3472,8.4958045877638,2
353500,Palestina,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.39,-49.4309,350600.0,Bauru,3518,RRAS9,35062,BAURU,-22.3246,-49.0871,217.14984838498503,1
353500,Palestina,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.39,-49.4309,353650.0,Paulínia,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7542,-47.1488,352.6716932559288,1
353510,Palmares Paulista,3531,RRAS12,35151,CATANDUVA,-21.0854,-48.8037,350530.0,Barra Bonita,3518,RRAS9,35064,JAU,-22.4909,-48.5583,157.68290711662544,1
353510,Palmares Paulista,3531,RRAS12,35151,CATANDUVA,-21.0854,-48.8037,350610.0,Bebedouro,3530,RRAS13,35052,SUL - BARRETOS,-20.9491,-48.4791,36.96551203516557,1
