ANT_TEMPO_,TP_ACIDENT,ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
1.0,1.0,350210,Andradina,3531,RRAS12,35022,LAGOS DO DRS II,-20.8948,-51.3786,353740.0,Pereira Barreto,3531,RRAS12,35022,LAGOS DO DRS II,-20.6368,-51.1123,39.81055660647919,1
1.0,1.0,350220,Angatuba,3519,RRAS8,35161,ITAPETININGA,-23.4917,-48.4139,350945.0,Campina do Monte Alegre,3519,RRAS8,35161,ITAPETININGA,-23.5895,-48.4758,12.540791985562173,7
1.0,1.0,350220,Angatuba,3519,RRAS8,35161,ITAPETININGA,-23.4917,-48.4139,352230.0,Itapetininga,3519,RRAS8,35161,ITAPETININGA,-23.5886,-48.0483,38.84336898696489,2
1.0,1.0,350250,Aparecida,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.8495,-45.2325,351840.0,Guaratinguetá,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.8075,-45.1938,6.116768863732741,2
1.0,1.0,350250,Aparecida,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.8495,-45.2325,354075.0,Potim,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.8343,-45.2552,2.87439459904837,7
1.0,1.0,350250,Aparecida,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.8495,-45.2325,354430.0,Roseira,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.8938,-45.307,9.083814650697295,3
1.0,1.0,350260,Aparecida d'Oeste,3531,RRAS12,35153,JALES,-20.4487,-50.8835,353284.0,Nova Canaã Paulista,3531,RRAS12,35152,SANTA FE DO SUL,-20.3836,-50.9483,9.883498718746168,1
1.0,1.0,350270,Apiaí,3519,RRAS8,35162,ITAPEVA,-24.5108,-48.8443,350535.0,Barra do Chapéu,3519,RRAS8,35162,ITAPEVA,-24.4722,-49.0238,18.690014396653886,8
1.0,1.0,350270,Apiaí,3519,RRAS8,35162,ITAPEVA,-24.5108,-48.8443,352215.0,Itaóca,3519,RRAS8,35162,ITAPEVA,-24.6393,-48.8413,14.236751531035488,2
1.0,1.0,350270,Apiaí,3519,RRAS8,35162,ITAPEVA,-24.5108,-48.8443,352265.0,Itapirapuã Paulista,3519,RRAS8,35162,ITAPEVA,-24.572,-49.1661,33.30250664018936,1
